311924950309163010	positive	Neuer Papst sogar ein sehr netter ! %PosSmiley ich freue mich auf seine Tätigkeiten	neu Papst sogar eine sehr nett ! %PosSmiley ich freuen ich auf sein Tätigkeit	ADJA NN ADV ART ADV ADJD $. ITJ PPER VVFIN PRF APPR PPOSAT NN	2/NK 0/-- 4/MO 2/AG 6/MO 2/PD 6/-- 6/DM 10/SB 8/-- 10/OA 10/OP 14/NK 12/NK	case=nom|Target::markable_2::Preferred=true|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Target::markable_2::Anaphref=empty|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|Target::markable_2::Target=True case=nom|gender=masc|num=sg|Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True Intensifier::markable_4::EmoExpressionRef=emo-expression:markable_3|Intensifier::markable_4::Intensifier=True|Intensifier::markable_4::Degree=medium|Sentiment::markable_1::Sentiment=True EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|pos=True|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Uncertain=false Sentiment::markable_1::Sentiment=True EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Polarity=positive|EmoExpression::markable_5::Uncertain=false|Sentiment::markable_1::Sentiment=True case=nom|Sentiment::markable_6::Polarity=positive|Source::markable_7::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True|Sentiment::markable_6::Sarcasm=false|pers=1|Sentiment::markable_6::Intensity=medium|num=sg|Source::markable_7::Source=True EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::EmoExpression=True|num=sg|tense=pres|EmoExpression::markable_10408073::Uncertain=false|EmoExpression::markable_10408073::EmoExpression=True|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_10408073::SubjectiveFact=false|mood=ind|EmoExpression::markable_10408073::Intensity=medium|EmoExpression::markable_10408073::Polarity=positive|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_10408073::Sarcasm=false|pers=1|EmoExpression::markable_8::Sarcasm=false|Sentiment::markable_6::Sentiment=True case=acc|pers=1|EmoExpression::markable_8::EmoExpression=True|num=sg|Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True case=acc|num=pl|Target::markable_9::Target=True|Target::markable_9::Anaphref=empty|gender=fem|Sentiment::markable_6::Sentiment=True|Target::markable_9::Preferred=true case=acc|gender=fem|Sentiment::markable_6::Sentiment=True|num=pl|Target::markable_9::Target=True
311932740620673024	neutral	nichts da Hochzeit gibt es bei den katholen nur für hetros . Daher keine weisse Kutsche für weiss kittel papst franziskus %PosSmiley	nichts da Hochzeit geben es bei die katholen nur für hetros . daher keine weiß Kutsche für weiß kittel papst franziskus %PosSmiley	PIS ADV NN VVFIN PPER APPR ART ADJA ADV APPR NE $. PAV PIAT ADJA NN APPR ADJD ADJD ADJA NN ITJ	17/NK 15/MO 18/OA 14/-- 18/EP 18/MO 22/NK 20/NK 24/MO 18/MO 24/NK 25/-- 16/NK 16/NK 16/NK 12/-- 16/MNR 20/MO 20/MO 21/NK 17/NK 21/NK	gender=neut|*=True _ case=acc|EmoExpression::markable_10408074::EmoExpression=True|EmoExpression::markable_10408074::Sarcasm=false|gender=masc|EmoExpression::markable_10408074::SubjectiveFact=true|EmoExpression::markable_10408074::Polarity=positive|EmoExpression::markable_10408074::Uncertain=false|num=sg|EmoExpression::markable_10408074::Intensity=medium pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|*=True|num=pl case=dat|*=True|num=pl|pos=True _ _ case=acc|*=True|num=sg _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ pos=True pos=True pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
311918350341111809	neutral	Hat der neue Papst eigentlich auch Probezeit ? %PosSmiley conclave	haben die neu Papst eigentlich auch Probezeit ? %PosSmiley conclave	VAFIN ART ADJA NN ADV ADV NN $. ITJ VVFIN	22/-- 26/NK 26/NK 23/SB 23/MO 29/MO 23/OA 29/-- 29/NK 9/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ case=nom|gender=fem|num=sg _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false _
312021813037248512	neutral	Wieder kein Moslem als Papst . %NegSmiley	wieder keine Moslem als Papst . %NegSmiley	ADV PIAT NN KOKOM NN $. ITJ	13/MO 13/NK 10/-- 13/CD 14/NK 15/-- 6/NK	Target::markable_14::Target=True|Target::markable_14::Preferred=true|Sentiment::markable_12::Sentiment=True|Target::markable_14::Anaphref=empty case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Target::markable_14::Target=True|Sentiment::markable_12::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_14::Target=True Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True|EmoExpression::markable_15::Polarity=negative|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
311845799040532480	neutral	DAS Outlook bitte %PosSmiley So wie DAS Gott , DAS Papst , DAS Microsoft .	die Outlook bitte %PosSmiley so wie die Gott , die Papst , die Microsoft .	ART TRUNC PTKANT ITJ ADV KOKOM ART NN $, PRELS NN $, PRELS NE $.	9/NK 12/CJ 9/NK 9/NK 7/-- 15/CM 15/NK 12/CC 15/-- 18/NK 15/CJ 18/-- 21/NK 18/CJ 21/--	case=nom|gender=neut|num=sg _ _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _
311914467829108737	neutral	ein junger , schwarzer , moderner Papst %PosSmiley	eine jung , schwarz , modern Papst %PosSmiley	ART ADJA $, ADJA $, ADJA NN ITJ	22/NK 22/NK 17/-- 17/CJ 19/-- 19/CJ 15/-- 22/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True _ case=nom|gender=masc|num=sg|pos=True _ case=nom|EmoExpression::markable_10408075::SubjectiveFact=true|gender=masc|EmoExpression::markable_10408075::Uncertain=false|pos=True|num=sg|EmoExpression::markable_10408075::Intensity=medium|EmoExpression::markable_10408075::Sarcasm=false|EmoExpression::markable_10408075::EmoExpression=True|EmoExpression::markable_10408075::Polarity=positive case=nom|gender=masc|num=sg EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
311920656914735104	mixed	Der Papst sieht aber putzig aus . Ich mag ihn . Auch wenn mir die Kirche schnurz ist . %PosSmiley HabemusPapam pope	die Papst sehen aber putzig aus . ich mögen er . auch wenn ich die Kirche schnurz sein . %PosSmiley HabemusPapam pope	ART NN VVFIN ADV ADJD PTKVZ $. PPER VMFIN PPER $. ADV KOUS PPER ART NN VVPP VAFIN $. ITJ NE ADJA	10/NK 11/SB 8/-- 11/MO 11/MO 11/SVP 14/-- 9/SB 7/-- 9/OA 10/-- 18/MO 18/CP 17/DA 16/NK 18/SB 18/PD 11/-- 18/-- 21/NK 22/OA 19/--	case=nom|Target::markable_19::Target=True|Sentiment::markable_18::Sarcasm=false|gender=masc|Sentiment::markable_18::Intensity=medium|num=sg|Target::markable_19::Preferred=true|Sentiment::markable_18::Polarity=positive|Target::markable_19::Anaphref=empty|Sentiment::markable_18::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_18::Sentiment=True|Target::markable_19::Target=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Sarcasm=false|pos=True|EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True case=nom|Sentiment::markable_21::Sarcasm=false|Source::markable_22::Source=True|Sentiment::markable_21::Intensity=medium|*=True|pers=1|num=sg|Sentiment::markable_21::Polarity=positive|Source::markable_22::Anaphref=empty|Sentiment::markable_21::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|mood=ind|EmoExpression::markable_23::Uncertain=false|pers=1|num=sg|tense=pres|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::EmoExpression=True|Sentiment::markable_21::Sentiment=True|EmoExpression::markable_23::Sarcasm=false case=acc|gender=masc|Target::markable_24::Anaphref=markable_19|pers=3|num=sg|Target::markable_24::Target=True|Target::markable_24::Preferred=true|Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True Sentiment::markable_25::Sentiment=True|Sentiment::markable_25::Polarity=negative|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=weak Sentiment::markable_25::Sentiment=True case=dat|pers=1|num=sg|Source::markable_27::Source=True|Source::markable_27::Anaphref=empty|Sentiment::markable_25::Sentiment=True|*=True case=nom|num=sg|gender=fem|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True|Target::markable_26::Preferred=true|Target::markable_26::Anaphref=empty case=nom|gender=fem|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True EmoExpression::markable_28::Intensity=weak|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=negative|EmoExpression::markable_28::EmoExpression=True|Sentiment::markable_25::Sentiment=True|EmoExpression::markable_28::Uncertain=false pers=3|Sentiment::markable_25::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_25::Sentiment=True Sentiment::markable_25::Sentiment=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True
311920496134455296	positive	Der neue Papst grüsst sie alle %PosSmiley Der Papst ist doch nur ein normaler mensch %PosSmiley School__Haters	die neu Papst grüßen sie alle %PosSmiley die Papst sein doch nur eine normal Mensch %PosSmiley %User	ART ADJA NN VVFIN PPER PIAT ITJ ART NN VAFIN ADV ADV ART ADJA NN ITJ NE	25/NK 25/NK 26/SB 22/-- 26/SB 27/NK 27/NK 31/NK 32/SB 26/CJ 32/MO 37/MO 37/NK 37/NK 32/PD 39/NK 37/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_10408076::Intensity=medium|EmoExpression::markable_10408076::Sarcasm=false|EmoExpression::markable_10408076::Uncertain=false|mood=ind|EmoExpression::markable_10408076::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_10408076::EmoExpression=True|EmoExpression::markable_10408076::Polarity=positive case=acc|*=True|num=pl|pers=3 case=acc|*=True|num=pl case=acc|EmoExpression::markable_29::Intensity=medium|*=True|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=pl|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::SubjectiveFact=false case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|gender=masc|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=sg|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True pers=3|Sentiment::markable_30::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_30::Sentiment=True case=nom|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_32::EmoExpression=True|EmoExpression::markable_32::Intensity=medium|num=sg|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|gender=masc|num=sg|Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg
311905357234573312	positive	%PosSmiley Natürlich wurde jetzt ein neuer Papst gefunden , schliesslich wollen die Junge es raus Champions League gucken .	%PosSmiley natürlich werden jetzt eine neu Papst finden , schließlich wollen die Junge es raus Champions League gucken .	ITJ ADJD VAFIN ADV ART ADJA NN VVPP $, ADV VMFIN ART NN PPER ADV NN NE VVINF $.	19/DM 25/MO 17/-- 25/MO 24/NK 24/NK 20/SB 20/OC 25/-- 28/MO 20/CJ 30/NK 28/SB 35/OA 28/MO 35/OA 33/NK 28/OC 35/--	_ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|mood=ind|EmoExpression::markable_35::EmoExpression=True|pers=3|num=pl|tense=pres|EmoExpression::markable_35::SubjectiveFact=false|Sentiment::markable_34::Sarcasm=false|Sentiment::markable_34::Sentiment=True|Sentiment::markable_34::Intensity=medium|Sentiment::markable_34::Polarity=positive|EmoExpression::markable_35::Polarity=positive case=nom|num=pl|Source::markable_36::Anaphref=empty|Sentiment::markable_34::Sentiment=True|gender=masc|Source::markable_36::Source=True case=nom|gender=masc|num=pl case=acc|pers=3|num=sg|Source::markable_36::Source=True|Sentiment::markable_34::Sentiment=True|gender=neut Sentiment::markable_34::Sentiment=True case=acc|Target::markable_37::Anaphref=empty|num=sg|Target::markable_37::Preferred=true|Target::markable_37::Target=True|Sentiment::markable_34::Sentiment=True|gender=neut case=acc|gender=neut|num=sg|Sentiment::markable_34::Sentiment=True|Target::markable_37::Target=True Sentiment::markable_34::Sentiment=True|Target::markable_37::Target=True _
311934946287689728	neutral	Bei all den hitzigen Tweets zum neuen Papst kümmern wir uns lieber um kühle Nordlichter in Nord - Finnland ! %PosSmiley esaaurora # ...	bei alle die hitzig Tweets zu neu Papst kümmern wir wir lieb um kühl Nordlicht in Nord - Finnland ! %PosSmiley esaaurora # ...	APPR PIAT ART ADJA NN APPRART ADJA NN VVFIN PPER PRF ADJD APPR ADJA NN APPR NN $( NE $. ITJ NN XY $.	28/MO 24/NK 24/NK 24/NK 20/NK 24/MNR 27/NK 25/NK 19/-- 28/SB 28/OA 28/MO 28/OP 34/NK 32/NK 34/MNR 35/NK 36/-- 36/NK 38/-- 38/NK 21/-- 22/NK 23/--	Sentiment::markable_38::Sentiment=True *=True|Sentiment::markable_38::Sentiment=True case=dat|gender=fem|num=pl|Sentiment::markable_38::Sentiment=True case=gen|gender=neut|num=sg|Sentiment::markable_38::Sentiment=True|pos=True case=gen|gender=neut|num=sg|Sentiment::markable_38::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|pos=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|mood=ind|EmoExpression::markable_40::SubjectiveFact=false|Sentiment::markable_38::Sentiment=True|pers=1|num=pl|tense=pres|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive case=nom|*=True|num=pl|Sentiment::markable_38::Sentiment=True|pers=1 case=acc|pers=1|num=pl|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_40::EmoExpression=True Sentiment::markable_38::Sentiment=True EmoExpression::markable_40::EmoExpression=True|Sentiment::markable_38::Sentiment=True case=acc|Target::markable_41::Anaphref=empty|Target::markable_41::Preferred=true|gender=fem|Sentiment::markable_38::Sentiment=True|pos=True|num=sg|Target::markable_41::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True case=nom|gender=neut|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_41::Target=True Sentiment::markable_38::Sentiment=True EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false _ _ _
311955254566584320	positive	OSTERN ist gerettet : Wir haben einen neuen Papst - und auch unser Gewinnspiel mit süssem Osterhasen läuft noch ! %PosSmiley %Link	Ostern sein retten : wir haben eine neu Papst - und auch unser Gewinnspiel mit süß Osterhase laufen noch ! %PosSmiley %Link	NN VAFIN VVPP $. PPER VAFIN ART ADJA NN $( KON ADV PPOSAT NN APPR ADJA NN VVFIN ADV $. ITJ XY	26/SB 24/-- 26/PD 27/-- 30/SB 26/CJ 33/NK 33/NK 30/OA 33/-- 30/CD 38/MO 38/NK 42/SB 38/MNR 41/NK 39/NK 35/CJ 42/MO 43/-- 43/DM 21/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_10408079::Intensity=medium|EmoExpression::markable_10408079::EmoExpression=True|EmoExpression::markable_10408079::Polarity=positive|EmoExpression::markable_10408079::Uncertain=false|EmoExpression::markable_10408079::Sarcasm=false|EmoExpression::markable_10408079::SubjectiveFact=false _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ _ Sentiment::markable_44::Sarcasm=false|Sentiment::markable_44::Sentiment=True|Sentiment::markable_44::Polarity=positive|Sentiment::markable_44::Intensity=medium case=nom|num=sg|Target::markable_45::Preferred=true|gender=neut|Target::markable_45::Target=True|Target::markable_45::Anaphref=empty|Sentiment::markable_44::Sentiment=True case=nom|gender=neut|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True case=dat|num=sg|gender=masc|Target::markable_45::Target=True|pos=True|Sentiment::markable_44::Sentiment=True case=dat|gender=masc|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True EmoExpression::markable_10408080::SubjectiveFact=false|EmoExpression::markable_10408080::Uncertain=false|EmoExpression::markable_10408080::EmoExpression=True|mood=ind|EmoExpression::markable_10408080::Sarcasm=false|EmoExpression::markable_10408080::Intensity=medium|pers=3|num=sg|tense=pres|EmoExpression::markable_10408080::Polarity=positive|Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|EmoExpression::markable_10408080::EmoExpression=True|Sentiment::markable_44::Sentiment=True Sentiment::markable_44::Sentiment=True EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True|Sentiment::markable_44::Sentiment=True _
