311919759388192769	positive	Zum Glüch wurde der neue Papst heute gekürt %PosSmiley	zu Glüch werden die neu Papst heute küren %PosSmiley	APPRART NN VAFIN ART ADJA NN ADV VVPP ITJ	8/MO 1/NK 0/-- 6/NK 6/NK 3/SB 8/MO 3/OC 8/NK	case=dat|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=dat|gender=neut|num=sg|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True mood=ind|Target::markable_3::Anaphref=empty|Target::markable_3::Preferred=true|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True|pers=3|num=sg|tense=past case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
311906517546856450	positive	Is’ echt so ! %PosSmiley Mir scheissegal , wieviel Papstwitze hier kursieren . Mich bewegt das . Trotz allem . Papst Konklave	Is’ echt so ! %PosSmiley ich scheissegal , wieviele Papstwitz hier kursieren . ich bewegen die . trotz alle . Papst Konklave	ADJD ADJD ADV $. ITJ PPER ADJD $, PWAV NN ADV VVINF $. PPER VVFIN PDS $. APPR PIS $. NN NN	11/MO 9/-- 11/MO 12/-- 12/DM 7/DA 5/-- 7/-- 12/MO 12/SB 12/MO 7/MO 12/-- 15/SB 13/-- 15/OA 16/-- 17/-- 18/NK 19/-- 20/-- 21/NK	pos=True pos=True _ _ Sentiment::markable_6::Sentiment=True case=dat|pers=1|num=sg|Source::markable_7::Source=True|Source::markable_7::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=negative|Sentiment::markable_6::Sentiment=True|pos=True|EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false Sentiment::markable_6::Sentiment=True Target::markable_9::Anaphref=empty|Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True|Target::markable_9::Preferred=true case=acc|gender=masc|Sentiment::markable_6::Sentiment=True|num=pl|Target::markable_9::Target=True Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_6::Sentiment=True|Target::markable_9::Target=True _ case=acc|Source::markable_12::Anaphref=markable_10|Source::markable_12::Source=True|*=True|pers=1|Sentiment::markable_11::Polarity=positive|num=sg|Sentiment::markable_11::Intensity=medium|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false mood=ind|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|Sentiment::markable_11::Sentiment=True case=acc|Target::markable_14::Target=True|num=sg|Target::markable_14::Anaphref=empty|Target::markable_14::Preferred=true|gender=neut|Sentiment::markable_11::Sentiment=True Sentiment::markable_11::Sentiment=True _ case=dat|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311929520116617216	positive	als ich hörte der neue papst ist ein argentinier dachte ich an Lionel Messi der 1.  %PosSmiley fussballzimmer	als ich hören die neu Papst sein eine Argentinier denken ich an Lionel Messi die @card@ %PosSmiley %User	KOKOM PPER VVFIN ART ADJA NN VAFIN ART NN VVFIN PPER APPR NE NN ART ADJA ITJ NE	24/CM 25/SB 22/-- 28/NK 28/NK 29/SB 25/OC 31/NK 29/SB 31/NK 32/SB 32/MO 34/NK 29/PD 40/NK 40/NK 40/NK 36/AG	_ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ case=acc|*=True|num=sg case=acc|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg|pos=True case=gen|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=fem|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=sg|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=gen|gender=fem|num=sg|pos=True
311927121712922624	positive	Wer ist der neue Papst ? %PosSmiley %Link	wer sein die neu Papst ? %PosSmiley %Link	PWS VAFIN ART ADJA NN $. ITJ XY	20/SB 18/-- 23/NK 23/NK 20/SB 23/-- 23/NK 7/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium _
311922836941963264	positive	Der neue Papst löst in mir so ein wunderschönes Gefühl aus . ♥ I feel blessed %PosSmiley	die neu Papst lösen in ich so eine wunderschön Gefühl aus . ♥ I feel blessed %PosSmiley	ART ADJA NN VVFIN APPR PPER ADV ART ADJA NN PTKVZ $. ADJA NN ADJA NN ITJ	11/NK 11/NK 12/SB 8/-- 12/MO 13/NK 18/MO 18/NK 18/NK 12/OA 12/SVP 19/-- 14/NK 12/-- 16/NK 14/CJ 16/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|*=True|num=sg|pers=1 _ case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_104012636::Sarcasm=false|EmoExpression::markable_104012636::Polarity=positive|gender=neut|EmoExpression::markable_104012636::Uncertain=false|pos=True|EmoExpression::markable_104012636::Intensity=strong|num=sg|EmoExpression::markable_104012636::EmoExpression=True|EmoExpression::markable_104012636::SubjectiveFact=false case=nom|gender=neut|num=sg _ _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|EmoExpression::markable_104012637::EmoExpression=True|gender=neut|EmoExpression::markable_104012637::SubjectiveFact=false|num=sg|EmoExpression::markable_104012637::Polarity=positive|EmoExpression::markable_104012637::Sarcasm=false|EmoExpression::markable_104012637::Uncertain=false|EmoExpression::markable_104012637::Intensity=strong _
311907822730366976	positive	%PosSmiley jetzt bin ich aber Gespannt wer der Neue Papst ist .	%PosSmiley jetzt sein ich aber spannen wer die neu Papst sein .	ITJ ADV VAFIN PPER ADV VVPP PWS ART ADJA NN VAFIN $.	19/DM 20/MO 17/-- 20/SB 20/MO 20/PD 28/SB 27/NK 27/NK 28/PD 23/OC 28/--	EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _
311981791202377728	neutral	Jetzt gar keine mehr %PosSmiley " Der neue Papst JMBergoglio : Vor 2 Minuten noch 25 ' 000  Twitter - Follower , jetzt schon 56 ' 000 ! "	jetzt gar keine mehr %PosSmiley " die neu Papst %User : vor 2 Minute noch 25 ' @card@ Twitter - Follower , jetzt schon 56 ' @card@ ! "	ADV ADV PIAT PIS ITJ $( ART ADJA NN NE $. APPR CARD NN ADV CARD $( CARD NN $( NN $, ADV ADV CARD $( CARD $. $(	16/MO 15/MO 39/NK 40/NK 24/MO 17/-- 21/NK 21/NK 17/NK 21/NK 22/-- 31/MNR 26/NK 24/NK 28/MO 31/NK 28/-- 28/CJ 16/CC 31/-- 31/CJ 33/-- 37/MO 37/MO 16/MO 37/-- 37/PAR 12/-- 40/--	_ _ case=nom|gender=fem|num=sg *=True case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=dat|gender=fem|num=pl _ _ _ _ gender=masc|*=True _ case=acc|gender=masc|num=pl _ _ _ _ _ _ _ _
312099418033758208	neutral	%PosSmiley Der neue Papst schafft den Google Reader ab . Das haben wir nun davon .	%PosSmiley die neu Papst schaffen die Google Reader ab . die haben wir nun davon .	ITJ ART ADJA NN VVFIN ART NN NN PTKVZ $. PDS VAFIN PPER ADV PAV $.	34/DM 33/NK 33/NK 34/SB 29/-- 36/NK 34/OA 36/NK 34/SVP 38/-- 14/OA 10/-- 12/SB 12/MO 12/NK 11/--	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _
311919039930851328	neutral	oh - massive Ton - und Bildaussetzer bei Rizzoli und Isles %NegSmiley Hallo , Papst ( @pontifex ) , mach das mal heile ! Danke !	oh - massiv Ton - und Bildaussetzer bei Rizzoli und Isles %NegSmiley Hallo , Papst ( @pontifex ) , machen die mal heilen ! danke !	ITJ $( ADJA NN $( KON NN APPR NN KON ADJA ITJ NN $, NN $( NN $( $, VVIMP PRELS ADV VVFIN $. PTKANT $.	20/NK 17/-- 20/NK 16/-- 20/-- 20/CD 22/CJ 20/MNR 24/NK 25/CD 29/NK 29/NK 20/APP 29/-- 29/CJ 31/-- 26/CJ 20/-- 18/-- 17/-- 23/OA 23/MO 20/OC 23/-- 24/-- 25/--	_ _ case=nom|gender=fem|num=pl|pos=True case=nom|gender=fem|num=pl _ _ case=nom|gender=masc|num=pl _ case=dat|gender=masc|num=sg _ case=acc|gender=neut|num=sg|pos=True case=acc|EmoExpression::markable_20::Uncertain=false|gender=neut|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=negative case=acc|gender=neut|num=sg _ case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg _ _ pers=3|num=sg|tense=past|mood=ind case=acc|gender=neut|num=sg _ _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium _
311825751311798272	positive	was würde da der Papst dazu sagen ? Ich hoffe , das versetzt ihn nicht gleich in die Wechseljahre ? %PosSmiley MM	was werden da die Papst dazu sagen ? ich hoffen , die versetzen er nicht gleich in die Wechseljahr ? %PosSmiley MM	PIS VAFIN ADV ART NN PAV VVINF $. PPER VVFIN $, PDS VVFIN PPER PTKNEG ADJD APPR ART NN $. ITJ NE	28/SB 26/-- 33/MO 31/NK 33/OC 31/NK 28/OC 33/-- 10/SB 8/-- 10/-- 13/SB 10/OC 13/OA 13/NG 17/MO 13/MO 19/NK 17/NK 19/-- 13/DM 21/--	case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=subj _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 _ pos=True _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive case=nom|*=True|num=sg
311912675242278912	positive	sorry würde dir ja schreiben schaue aber gerade die papst wahl an und wer der neue papst ist ! %PosSmiley	sorry werden du ja schreiben schauen aber gerade die papst Wahl an und wer die neu Papst sein ! %PosSmiley	NN VAFIN PPER ADV VVINF VVFIN ADV ADV ART ADJA NN PTKVZ KON PWS ART ADJA NN VAFIN $. ITJ	24/OC 22/-- 27/DA 27/MO 24/OC 27/OC 28/MO 28/MO 33/NK 33/NK 28/OA 28/SVP 28/CD 40/SB 39/NK 39/NK 40/PD 35/CJ 40/-- 40/NK	_ pers=3|num=sg|tense=past|mood=subj case=dat|*=True|num=sg|pers=2 _ _ pers=3|num=sg|tense=pres|mood=subj _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
