319780665581264897	negative	JETZT gebe ich Player 6 den Todesstoss . Lange genug hat er sich gewehrt %PosSmiley	jetzt geben ich Player 6 die Todesstoß . lange genug haben er sich wehren %PosSmiley	ADV VVFIN PPER NN CARD ART NN $. ADV ADV VAFIN PPER PRF VVPP ITJ	2/MO 0/-- 2/SB 2/OA 4/NK 7/NK 2/OA 7/-- 10/MO 14/MO 8/-- 11/SB 14/OA 11/OC 14/NK	Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True case=nom|pers=1|num=sg|Source::markable_3::Anaphref=empty|*=True|Source::markable_3::Source=True|Sentiment::markable_1::Sentiment=True case=acc|num=sg|Target::markable_2::Anaphref=empty|gender=masc|Target::markable_2::Preferred=true|Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True case=acc|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Uncertain=false|gender=masc|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=negative|Sentiment::markable_1::Sentiment=True|num=sg|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|pers=3|num=sg _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
329242221637402626	positive	In den letzten 48  Stunden habe ich Ca 30  Chips gegessen . Heute Abend dafür ein Menü beim Italiener %PosSmiley	in die letzt @card@ Stunde|Stunden haben ich ca @card@ Chip essen . heute abend dafür eine Menü bei Italiener %PosSmiley	APPR ART ADJA CARD NN VAFIN PPER NE CARD NN VVPP $. ADV ADV PAV ART NN APPRART NN ITJ	26/MO 20/NK 20/NK 20/NK 16/NK 15/-- 21/SB 21/SB 25/NK 26/OA 21/OC 26/-- 14/MO 17/JU 14/NK 17/NK 12/-- 17/MNR 18/NK 19/NK	_ case=dat|gender=neut|num=pl case=dat|gender=neut|num=pl|pos=True _ case=acc|gender=fem|num=pl pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=dat|gender=masc|num=pl _ _ Target::markable_8::Target=True|Sentiment::markable_6::Polarity=positive|Sentiment::markable_6::Intensity=medium|Target::markable_8::Anaphref=empty|Sentiment::markable_6::Sentiment=True|Target::markable_8::Preferred=true|Sentiment::markable_6::Sarcasm=false Target::markable_8::Target=True|Sentiment::markable_6::Sentiment=True Target::markable_8::Target=True|Sentiment::markable_6::Sentiment=True case=acc|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_8::Target=True case=acc|gender=neut|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_8::Target=True case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_8::Target=True case=dat|gender=masc|Sentiment::markable_6::Sentiment=True|num=sg|Target::markable_8::Target=True EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|Sentiment::markable_6::Sentiment=True|EmoExpression::markable_7::Sarcasm=false|EmoExpression::markable_7::Polarity=positive
327014426416922624	positive	Heute ist Welttag gegen den Lärm ich wünsche euch allen einen ruhigen Tag %PosSmiley	heute sein Welttag gegen die Lärm ich wünschen ihr alle eine ruhig Tag %PosSmiley	ADV VAFIN NN APPR ART NN PPER VVFIN PPER PIS ART ADJA NN ITJ	22/MO 20/-- 22/SB 23/MNR 26/NK 24/NK 28/SB 22/CJ 28/DA 27/NK 33/NK 33/NK 28/OA 33/NK	Sentiment::markable_10::Polarity=positive|Sentiment::markable_10::Sarcasm=false|Sentiment::markable_10::Intensity=weak|Sentiment::markable_10::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_10::Sentiment=True case=nom|Target::markable_11::Anaphref=empty|num=sg|Target::markable_11::Preferred=true|Sentiment::markable_10::Sentiment=True|Target::markable_11::Target=True|gender=masc Target::markable_11::Target=True|Sentiment::markable_10::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_10::Sentiment=True|Target::markable_11::Target=True case=acc|Sentiment::markable_10::Sentiment=True|EmoExpression::markable_100500236::Uncertain=false|gender=masc|EmoExpression::markable_100500236::EmoExpression=True|EmoExpression::markable_100500236::Polarity=negative|num=sg|EmoExpression::markable_100500236::Sarcasm=false|EmoExpression::markable_100500236::Intensity=medium|EmoExpression::markable_100500236::SubjectiveFact=false|Target::markable_11::Target=True case=nom|Source::markable_100500208::Source=True|Sentiment::markable_100500207::Sarcasm=false|Sentiment::markable_100500207::Polarity=positive|*=True|pers=1|num=sg|Source::markable_100500208::Anaphref=empty|Sentiment::markable_100500207::Sentiment=True|Sentiment::markable_100500207::Intensity=medium EmoExpression::markable_100500209::Sarcasm=false|mood=ind|EmoExpression::markable_100500209::Intensity=medium|pers=1|EmoExpression::markable_100500209::SubjectiveFact=false|num=sg|tense=pres|EmoExpression::markable_100500209::Polarity=positive|Sentiment::markable_100500207::Sentiment=True|EmoExpression::markable_100500209::EmoExpression=True|EmoExpression::markable_100500209::Uncertain=false case=dat|Target::markable_100500210::Anaphref=empty|Target::markable_100500210::Preferred=true|*=True|Target::markable_100500210::Target=True|pers=2|num=pl|Sentiment::markable_100500207::Sentiment=True case=dat|*=True|num=pl|Target::markable_100500210::Target=True|Sentiment::markable_100500207::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500207::Sentiment=True case=acc|EmoExpression::markable_100500211::Uncertain=false|gender=masc|EmoExpression::markable_100500211::Intensity=medium|pos=True|EmoExpression::markable_100500211::SubjectiveFact=false|EmoExpression::markable_100500211::Sarcasm=false|EmoExpression::markable_100500211::Polarity=positive|num=sg|EmoExpression::markable_100500211::EmoExpression=True|Sentiment::markable_100500207::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500207::Sentiment=True EmoExpression::markable_9::Uncertain=false|EmoExpression::markable_9::Polarity=positive|EmoExpression::markable_9::Sarcasm=false|EmoExpression::markable_9::Intensity=medium|Sentiment::markable_100500207::Sentiment=True|EmoExpression::markable_9::SubjectiveFact=false|EmoExpression::markable_9::EmoExpression=True
326101031673028608	positive	Heute bis zu 15°  kann wieder mit dem rad fahren %PosSmiley	heute bis zu 15°_ können wieder mit die rad fahren %PosSmiley	ADV KON PTKA ADJD VMFIN ADV APPR PDS PTKVZ VVFIN ITJ	19/MO 15/CD 18/MO 16/CJ 14/-- 19/MO 24/MO 21/NK 24/MO 19/OC 19/DM	Sentiment::markable_12::Sentiment=True|Sentiment::markable_12::Polarity=positive|Sentiment::markable_12::Sarcasm=false|Sentiment::markable_12::Intensity=medium Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True Sentiment::markable_12::Sentiment=True pers=3|Sentiment::markable_12::Sentiment=True|num=sg|tense=pres|mood=ind Target::markable_13::Preferred=true|Sentiment::markable_12::Sentiment=True|Target::markable_13::Target=True|Target::markable_13::Anaphref=empty Sentiment::markable_12::Sentiment=True|Target::markable_13::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_12::Sentiment=True|Target::markable_13::Target=True Sentiment::markable_12::Sentiment=True|Target::markable_13::Target=True pers=3|Sentiment::markable_12::Sentiment=True|num=pl|tense=pres|mood=ind|Target::markable_13::Target=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|Sentiment::markable_12::Sentiment=True|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
322239999795929088	mixed	Wie gerne ich jetzt BioShock Infinite spielen würde . Muss . Mich . Gedulden . %NegSmiley	wie gerne ich jetzt BioShock Infinite spielen werden . Muss . ich . Gedulden . %NegSmiley	KOKOM ADV PPER ADV NN NN VVINF VAFIN $. NN $. PPER $. NN $. ITJ	13/MO 18/MO 19/SB 18/MO 18/OA 16/NK 19/OC 11/-- 19/-- 9/-- 10/-- 11/-- 12/-- 13/-- 14/-- 15/NK	Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Intensifier::markable_19::Degree=medium|Sentiment::markable_15::Polarity=positive|Intensifier::markable_19::EmoExpressionRef=emo-expression:markable_18|Sentiment::markable_15::Sentiment=True|Intensifier::markable_19::Intensifier=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium case=nom|pers=1|num=sg|Source::markable_16::Source=True|Sentiment::markable_15::Sentiment=True|*=True|Source::markable_16::Anaphref=empty Sentiment::markable_15::Sentiment=True case=acc|Target::markable_17::Target=True|num=sg|Target::markable_17::Preferred=true|Sentiment::markable_15::Sentiment=True|gender=masc|Target::markable_17::Anaphref=empty case=acc|gender=masc|num=sg|Target::markable_17::Target=True|Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True|Target::markable_17::Target=True pers=3|Sentiment::markable_15::Sentiment=True|num=sg|tense=past|mood=subj _ Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True|Sentiment::markable_20::Sarcasm=false|Target::markable_21::Anaphref=empty|Sentiment::markable_20::Polarity=negative|Target::markable_21::Preferred=true|Sentiment::markable_20::Intensity=medium Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True case=acc|pers=1|num=sg|Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True|*=True Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True Sentiment::markable_20::Sentiment=True EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|Sentiment::markable_20::Sentiment=True|EmoExpression::markable_22::Polarity=negative
319056818867412993	positive	im Gegenteil %PosSmiley Ich darf den Railjet beglücken %PosSmiley	in Gegenteil %PosSmiley ich dürfen die Railjet beglücken %PosSmiley	APPRART NN ITJ PPER VMFIN ART NN VVFIN ITJ	21/MO 17/NK 21/DM 21/SB 16/-- 23/NK 24/OA 21/OC 24/DM	case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=dat|EmoExpression::markable_23::SubjectiveFact=false|gender=neut|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|num=sg|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Sarcasm=false case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_100500206::Uncertain=false|EmoExpression::markable_100500206::Intensity=medium|EmoExpression::markable_100500206::Sarcasm=false|EmoExpression::markable_100500206::SubjectiveFact=false|EmoExpression::markable_100500206::Polarity=positive|EmoExpression::markable_100500206::EmoExpression=True EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
319142916239015936	positive	Ahhhh endlich geht mein handy wieder %PosSmiley	Ahhhh endlich gehen mein Handy wieder %PosSmiley	NN ADV VVFIN PPOSAT NE PTKVZ ITJ	12/SB 10/MO 9/-- 14/PNC 12/SB 12/SVP 12/DM	case=nom|EmoExpression::markable_29::Intensity=medium|gender=masc|Sentiment::markable_25::Polarity=positive|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=sg|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|Sentiment::markable_25::Intensity=medium|Sentiment::markable_25::Sentiment=True|EmoExpression::markable_29::SubjectiveFact=false|Sentiment::markable_25::Sarcasm=false EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false|Sentiment::markable_25::Sentiment=True Target::markable_26::Anaphref=empty|mood=ind|Target::markable_26::Preferred=true|pers=3|num=sg|tense=pres|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True case=nom|gender=masc|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True case=nom|gender=masc|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false|Sentiment::markable_25::Sentiment=True
322052690572099584	positive	Ja , aber Greys Anatomy geht vor ! %PosSmiley	Ja , aber Greys Anatomy gehen vor ! %PosSmiley	NN $, KON NE NE VVFIN PTKVZ $. ITJ	13/SB 8/-- 8/CD 12/AG 10/CJ 7/-- 13/SVP 14/-- 14/NK	Sentiment::markable_31::Intensity=medium|Sentiment::markable_31::Sarcasm=false|Sentiment::markable_31::Sentiment=True|Sentiment::markable_31::Polarity=positive Sentiment::markable_31::Sentiment=True Sentiment::markable_31::Sentiment=True case=gen|Target::markable_32::Target=True|num=sg|Target::markable_32::Anaphref=empty|Target::markable_32::Preferred=true|*=True|Sentiment::markable_31::Sentiment=True case=dat|gender=neut|Target::markable_32::Target=True|num=sg|Sentiment::markable_31::Sentiment=True Target::markable_32::Target=True|EmoExpression::markable_100500237::Polarity=positive|mood=ind|EmoExpression::markable_100500237::Uncertain=true|EmoExpression::markable_100500237::Intensity=medium|EmoExpression::markable_100500237::Sarcasm=false|EmoExpression::markable_100500237::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_100500237::EmoExpression=True|Sentiment::markable_31::Sentiment=True Target::markable_32::Target=True|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_100500237::EmoExpression=True Sentiment::markable_31::Sentiment=True EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|Sentiment::markable_31::Sentiment=True|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
324402230012821504	positive	Einigen wir uns auf Schokopudding aus Deinem Bauchnabel , - )	Einigen wir wir auf Schokopudding aus dein Bauchnabel , - )	NN PPER PRF APPR NN APPR PPOSAT NN $, $( $(	9/-- 10/SB 10/OA 10/MO 13/NK 14/MNR 17/NK 15/NK 17/-- 18/-- 19/--	pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|pers=1|num=pl _ case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_100500212::Uncertain=false|EmoExpression::markable_100500212::Polarity=positive|EmoExpression::markable_100500212::Sarcasm=false|EmoExpression::markable_100500212::Intensity=medium|EmoExpression::markable_100500212::SubjectiveFact=false|EmoExpression::markable_100500212::EmoExpression=True EmoExpression::markable_100500212::EmoExpression=True EmoExpression::markable_100500212::EmoExpression=True
326758608698232832	negative	ich schon .. Kelloggs mag ich nämlich nicht %PosSmiley _Schlumpfinchen	ich schon .. Kelloggs mögen ich nämlich nicht %PosSmiley %User	PPER ADV ADJA NN VMFIN PPER ADV PTKNEG ITJ NE	14/SB 14/MO 11/-- 5/SB 3/-- 5/SB 5/MO 5/NG 10/NK 5/OA	case=nom|*=True|num=sg|pers=1 _ pers=1|num=sg|tense=pres|mood=ind case=nom|Sentiment::markable_35::Intensity=medium|gender=masc|Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True|Target::markable_36::Anaphref=empty|num=sg|Target::markable_36::Preferred=true|Sentiment::markable_35::Sarcasm=false|Sentiment::markable_35::Polarity=negative EmoExpression::markable_37::Uncertain=false|mood=ind|EmoExpression::markable_37::Sarcasm=false|Sentiment::markable_35::Sentiment=True|pers=3|EmoExpression::markable_37::EmoExpression=True|num=sg|tense=pres|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive case=nom|pers=1|num=sg|Source::markable_38::Source=True|*=True|Source::markable_38::Anaphref=empty|Sentiment::markable_35::Sentiment=True Sentiment::markable_35::Sentiment=True Sentiment::markable_35::Sentiment=True|Negation::markable_39::EmoExpressionRef=empty|Negation::markable_39::Negation=True EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive|Sentiment::markable_35::Sentiment=True _
324404078887182336	negative	Ich muss am Montag Artikel und Konzepte abgeben . Ich glaub , ich arbeite am WE , während Ihr grillt und twittere heute aus dem Biergarten . %PosSmiley	ich müssen an Montag Artikel und Konzept abgeben . ich glauben , ich arbeiten an WE , während sie grillen und twittere heute aus die Biergarten . %PosSmiley	PPER VMFIN APPRART NN NN KON NN VVINF $. PPER VVIMP $, PPER VVFIN APPRART NE $, KOUS PPER VVFIN KON VVFIN ADV APPR ART NN $. ITJ	12/SB 10/-- 18/MO 13/NK 18/OA 15/CD 16/CJ 12/OC 18/-- 14/SB 14/CJ 11/-- 14/SB 9/-- 14/MO 15/NK 16/-- 20/CP 20/SB 14/MO 20/CD 21/CJ 22/MO 22/MO 26/NK 24/NK 26/-- 27/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|gender=neut|num=pl _ _ case=nom|Sentiment::markable_42::Sentiment=True|Sentiment::markable_42::Sarcasm=false|*=True|Sentiment::markable_42::Polarity=negative|pers=1|num=sg|Sentiment::markable_42::Intensity=weak pers=1|Sentiment::markable_42::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_42::Sentiment=True case=nom|Sentiment::markable_42::Sentiment=True|*=True|pers=1|num=sg|Target::markable_43::Target=True|Target::markable_43::Preferred=true|Target::markable_43::Anaphref=empty pers=1|Sentiment::markable_42::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_43::Target=True case=dat|gender=masc|num=sg|Target::markable_43::Target=True|Sentiment::markable_42::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_43::Target=True|Sentiment::markable_42::Sentiment=True Sentiment::markable_42::Sentiment=True Sentiment::markable_42::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_42::Sentiment=True|pers=2 pers=3|Sentiment::markable_42::Sentiment=True|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=subj _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false
