378616125267144704	neutral	war es auch %PosSmiley eine der letzten gelben / grünen zucchinis , tomaten , karotten etc ...	sein es auch %PosSmiley eine die letzt gelb / grün zucchinis , tomaten , karotten etc. ...	VAFIN PPER ADV ITJ ART ART ADJA ADJA $( ADJA NN $, ADJD $, VVFIN ADV $.	0/-- 1/SB 1/MO 13/DM 13/OA 11/NK 11/NK 11/NK 8/-- 8/MO 5/AG 11/-- 1/PD 13/-- 1/CJ 15/MO 16/--	pers=3|num=sg|tense=past|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|*=True|EmoExpression::markable_1::Sarcasm=false|num=sg|EmoExpression::markable_1::Intensity=medium case=acc|gender=fem|num=sg case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl|pos=True _ _ _ case=nom|gender=neut|num=sg _ _ _ pers=3|num=pl|tense=past|mood=ind _ _
355001185255686145	neutral	übermorgen ist erster crypto friday in der steckgasse 6.  kommt vorbei und lasst euch verschlüsseln %PosSmiley %Link ...	übermorgen sein erst crypto friday in die steckgasse @card@ kommen vorbei und lassen ihr verschlüsseln %PosSmiley %Link ...	ADV VAFIN ADJA ADJA NE APPR ART NN CARD VVFIN PTKVZ KON VVFIN PPER VVINF ITJ XY $.	19/MO 17/-- 22/NK 22/NK 19/SB 27/MO 25/NK 23/NK 25/NK 19/OC 27/SVP 27/CD 29/CJ 32/DA 30/OC 27/DM 33/NK 34/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ pers=2|num=sg|tense=pres|mood=ind case=dat|*=True|num=pl|pers=2 _ EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|EmoExpression::markable_2::EmoExpression=True _ _
374812841322483712	neutral	An alle Piraten die zur fsa13 am 7.9 . fahren : Wir treffen uns ab 12:00 Uhr am Piraten - LKW auf der Alexanderstrasse . Seid dabei %PosSmiley	an alle Pirat die zu fsa13 an @card@ . fahren : wir treffen wir ab @card@ Uhr an Pirat - LKW auf die Alexanderstraße . sein dabei %PosSmiley	APPR PIAT NN ART APPRART NN APPRART CARD $. VVFIN $. PPER VVFIN PPER APPR CARD NN APPRART NN $( NE APPR ART NN $. VAFIN PAV ITJ	28/MO 21/NK 19/NK 35/NK 28/MO 23/NK 24/MNR 25/NK 26/-- 31/PD 28/-- 31/SB 18/-- 31/OA 31/MO 35/NK 33/NK 31/MO 36/NK 37/-- 37/NK 31/MO 42/NK 40/NK 42/-- 25/-- 26/NK 27/NK	_ case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl case=acc|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=masc|num=sg _ _ _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|pers=1|num=pl _ _ case=dat|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=acc|*=True|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ pers=2|num=pl|mood=imp _ EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
358321082723348483	neutral	Aha ! Diese Einstellung ist also bei mehreren sogenannten Volksvertretern Programm ! Und wenn das jetzt Wähler lesen ? %PosSmiley	aha ! dies Einstellung sein also bei mehrere sogenannt Volksvertreter Programm ! und wenn die jetzt Wähler lesen ? %PosSmiley	ITJ $. PDAT NN VAFIN ADV APPR PIAT ADJA NN NN $. KON KOUS PDS ADV NN VVINF $. ITJ	30/NK 28/-- 4/NK 5/SB 2/-- 5/MO 5/MO 10/NK 10/NK 7/NK 5/PD 11/-- 18/JU 18/CP 18/SB 18/MO 18/OA 12/-- 18/-- 18/NK	_ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=masc|num=pl case=dat|EmoExpression::markable_100500313::Sarcasm=false|EmoExpression::markable_100500313::EmoExpression=True|EmoExpression::markable_100500313::SubjectiveFact=false|gender=masc|EmoExpression::markable_100500313::Polarity=negative|pos=True|num=pl|EmoExpression::markable_100500313::Uncertain=true|EmoExpression::markable_100500313::Intensity=medium case=dat|gender=masc|num=pl case=nom|gender=neut|num=sg _ _ _ case=nom|gender=neut|num=sg _ case=acc|gender=masc|num=pl _ _ EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::Polarity=positive|EmoExpression::markable_4::EmoExpression=True
381129701965979648	neutral	Ist der " Manuel Lautenschläger " schon da ? %PosSmiley Der wollte heute auch zum Stammtisch kommen . Er ist wohl Interessent & Wähler .	sein die " Manuel Lautenschläger " schon da ? %PosSmiley die wollen heute auch zu Stammtisch kommen . er sein wohl Interessent & Wähler .	VAFIN ART $( NE NN $( ADV PTKVZ $. ITJ PDS VMFIN ADV ADV APPRART NN VVINF $. PPER VAFIN ADV NN KON NN $.	20/-- 25/NK 22/-- 25/PNC 21/SB 25/-- 21/MO 21/MO 28/-- 28/NK 12/SB 10/-- 12/MO 15/MO 17/MO 15/NK 12/OC 17/-- 20/SB 18/-- 20/MO 20/PD 22/CD 23/CJ 24/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ pos=True _ case=acc|gender=masc|num=pl _
376643351237644288	neutral	Dagegen die FDP so : " Über 200  Gäste beim Frühschoppen mit philipproesler und Wissing in Siebeldingen . " %PosSmiley	dagegen die FDP so : " über @card@ Gast bei Frühschoppen mit %User und %User in Siebeldingen . " %PosSmiley	PAV ART NE ADV $. $( APPR CARD NN APPRART NN APPR NE KON NE APPR NN $. $( ITJ	28/NK 28/NK 25/-- 32/MO 32/-- 30/-- 28/MNR 34/NK 32/NK 34/MNR 35/NK 36/MNR 37/NK 38/CD 39/CJ 28/MNR 41/NK 42/-- 43/-- 19/NK	case=nom|*=True|num=pl case=nom|*=True|num=pl case=nom|*=True|num=pl _ _ _ _ _ case=nom|gender=masc|num=pl case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ comp=True _ case=nom|*=True|num=sg _ case=dat|gender=neut|num=sg _ _ EmoExpression::markable_6::Sarcasm=false|EmoExpression::markable_6::Uncertain=false|EmoExpression::markable_6::Intensity=medium|EmoExpression::markable_6::SubjectiveFact=false|EmoExpression::markable_6::Polarity=positive|EmoExpression::markable_6::EmoExpression=True
383302955761278977	neutral	Piratenpartei Fwd :( Von der Orga - Liste ) Anträge einreichen für den LPT 2013.3 : Beitrag kann na ... %Link Piraten Forum	Piratenpartei Fwd :( von die Orga - Liste ) Antrag einreichen für die LPT @card@ : Beitrag können na ... %Link Pirat Forum	NN NE NN APPR ART NN $( NN $( NN VVFIN APPR ART NN CARD $. NN VMFIN ITJ $. XY NN NN	23/AG 21/NK 31/CJ 23/MNR 26/NK 24/NK 26/-- 23/PAR 28/-- 31/OA 20/-- 31/MO 34/NK 32/NK 34/NK 35/-- 38/SB 31/CJ 41/NK 41/-- 38/SB 21/-- 22/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ case=acc|gender=masc|num=pl _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=masc|num=pl case=nom|gender=neut|num=sg
373224782986498048	negative	Wahlomat : LINKE , PSG , Piraten , Grüne , SPD. Aber ganz oben m 71,1 % : NPD ! %NegSmiley Fail Politik	Wahlomat : linken , PSG , Pirat , Grüne , SPD. aber ganz oben m @card@ % : NPD ! %NegSmiley Fail Politik	NN $. VVFIN $, NN $, NN $, NN $, ADJA KON ADV ADV NN CARD NN $. NE $. ITJ NE NN	23/-- 24/-- 24/NK 26/-- 24/CJ 28/-- 28/CJ 30/-- 30/CJ 32/-- 40/NK 34/CD 37/MO 38/MO 35/CJ 40/NK 32/CJ 40/-- 23/-- 42/-- 42/NK 23/AG 21/--	case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=pl _ case=nom|*=True|num=pl _ case=nom|*=True|num=pl|pos=True Sentiment::markable_7::Polarity=negative|Sentiment::markable_7::Sentiment=True|Sentiment::markable_7::Sarcasm=false|Sentiment::markable_7::Intensity=strong|Target::markable_9::Anaphref=empty|Target::markable_9::Preferred=true|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True gender=masc|*=True|Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True gender=neut|*=True|Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True|Target::markable_9::Target=True Sentiment::markable_7::Sentiment=True EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=strong|EmoExpression::markable_8::Polarity=negative|EmoExpression::markable_8::Sarcasm=false|Sentiment::markable_7::Sentiment=True|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false case=nom|EmoExpression::markable_100500179::Uncertain=false|EmoExpression::markable_100500179::Intensity=medium|EmoExpression::markable_100500179::SubjectiveFact=false|gender=masc|EmoExpression::markable_100500179::EmoExpression=True|num=sg|Sentiment::markable_7::Sentiment=True|EmoExpression::markable_100500179::Sarcasm=false|EmoExpression::markable_100500179::Polarity=negative case=nom|gender=fem|num=sg
380412052764098560	neutral	Melde dich mal bei loko @ %Link , die können nachschauen %PosSmiley	Melde du mal bei loko @ %Link , die können nachschauen %PosSmiley	NN PPER ADV APPR NE XY XY $, PRELS VMINF VVFIN ITJ	34/SB 33/SB 33/MO 33/MO 27/NK 30/PNC 33/NK 30/-- 33/SB 24/MNR 23/-- 34/DM	case=nom|gender=fem|num=sg case=acc|*=True|num=sg|pers=2 _ _ _ _ _ _ case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_10::Uncertain=false|EmoExpression::markable_10::Polarity=positive|EmoExpression::markable_10::Sarcasm=false|EmoExpression::markable_10::Intensity=medium|EmoExpression::markable_10::EmoExpression=True|EmoExpression::markable_10::SubjectiveFact=false
367562930642255872	negative	Dabei %PosSmiley GröDaZ heute 18.30 Demo " Nein zum Überwachungsstaat " in Erkelenz / NRW. Kommt zahlreich !...	dabei %PosSmiley GröDaZ heute @card@ Demo " nein zu Überwachungsstaat " in Erkelenz / NRW. kommen zahlreich !...	PAV ITJ NE ADV CARD NN $( PTKANT APPRART NN $( APPR NN $( NN VVFIN ADJD ADJA	15/NK 15/NK 28/SB 28/MO 18/NK 16/MO 18/-- 24/DM 24/MO 21/NK 22/-- 28/MO 24/NK 25/-- 25/CJ 12/-- 28/MO 28/MO	_ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false case=nom|gender=neut|num=sg _ _ _ _ Sentiment::markable_100500180::Intensity=medium|Sentiment::markable_100500180::Sentiment=True|EmoExpression::markable_100500183::Uncertain=false|EmoExpression::markable_100500183::EmoExpression=True|EmoExpression::markable_100500183::Intensity=medium|Sentiment::markable_100500180::Polarity=negative|Sentiment::markable_100500180::Sarcasm=false|EmoExpression::markable_100500183::Sarcasm=false|EmoExpression::markable_100500183::SubjectiveFact=false|EmoExpression::markable_100500183::Polarity=negative case=dat|gender=masc|num=sg|Sentiment::markable_100500180::Sentiment=True case=dat|gender=masc|num=sg Target::markable_100500182::Target=True|Target::markable_100500182::Preferred=true|Sentiment::markable_100500180::Sentiment=True|Target::markable_100500182::Anaphref=empty _ case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True _
350628190856814592	neutral	BER Piraten das passt doch mal zum laufenden Wahlkampf - obwohl , inzwischen haben die Piraten ja ein Programm %PosSmiley %Link	BER Pirat die passen doch mal zu laufend Wahlkampf - obwohl , inzwischen haben die Pirat ja eine Programm %PosSmiley %Link	NE NN PDS VVFIN ADV ADV APPRART ADJA NN $( KOUS $, ADV VAFIN ART NN ADV ART NN ITJ XY	20/NK 22/SB 22/OA 18/-- 22/MO 22/MO 22/MO 27/NK 25/NK 27/-- 32/CP 29/-- 32/MO 22/MO 34/NK 32/SB 32/MO 37/NK 32/OA 37/NK 37/NK	case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl case=acc|gender=neut|num=sg _ _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg|pos=True case=dat|gender=neut|num=sg _ _ _ _ pers=3|num=pl|tense=pres|mood=ind case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True _
